,,Nombre œuvres,Types de DESIGN,Né  pays  , Mort pays,classe socio,Seule  ,Notoriété  POSTHUME,Mariée,A garder ,ne pas selectionné,
Anderson,Alice,22,PUBLICATIONS ,France,/,,OUI,NON,/,x,,
Carbonell,Guidette,61,"OBJET DESIGN, ",France,France,,OUI,NON,OUI,x,,
De La Casinière,Joëlle,19,PUBLICATIONS ,France,/,,OUI,NON,/,,,
Dean,Tacita,8,PUBLICATIONS ,Angleterre,/,,OUI,NON,/,,,
Delaunay,Sonia,6,DESIGN TEXTILE,Ukraine,France,,OUI,NON,OUI,x,,
Ditzel,Nanna,26,DESSIN ,Danemark,Danemark,,OUI,NON,OUI,x,,
Du Pasquier,Nathalie,54,OBJET DESIGN,France,/,,OUI,NON,OUI,,,
Eames,Charles; Ray,3+40,MOBILIER,USA,USA,,NON,NON,OUI,x,,
Ferrari,Costanza,41,OBJET DESIGN,/,/,,OUI,/,/,,x,
Guerrilla Girls,/,66,DESIGN GRAPHIQUE,USA,/,,NON,NON,/,x,,
Hicks,Sheila,19,DESIGN TEXTILE,USA,/,,OUI,NON,OUI,x,,
Hinrichs,Saskia,18,OBJET,/,/,,OUI,/,/,,x,
Husky,Suzanne,15,OBJET ,France,/,,OUI,NON,/,,,
Jongerius,Hella,39,OBJET ,Pays-Bas,/,,OUI,NON,/,,,
Juhlin; Benktzon,Sven-Eric; Maria,12,OBJET ,Suède,/,,NON,NON,/,x,,
Leleu,Paule,85,OBJET TEXTILE,France,France,,OUI,NON,/,x,,
Loiseur,Yveline,6,PUBLICATIONS ,France,/,,OUI,NON,/,,,
Moreni,Popy,312,OBJET TEXTILE,Italie,/,,OUI,NON,/,x,,
Parker,Cornelia,6,PUBLICATIONS ,Angleterre,/,,OUI,NON,/,x,,
Perriand,Charlotte,68,MOBILIER,France,France,,OUI,NON,OUI,x,,
Prassinos,Gisèle,33,DESIGN TEXTILE,Turquie,France,,OUI,NON,OUI,x,,
Prouvé,Simone,35,MOBILIER,France,/,,OUI,NON,/,x,,ce qui la rend connue c'est une œuvre faite avec Charlotte perriand 
Rémy,Véronique,14,OBJET,/,/,,OUI,/,/,,x,
Schlegel,Valentine,21,CERAMIQUE,France,France,,OUI,NON,NON,x,,lesbienne et pote de Varda 
Taeuber-Arp,Sophie,7,VITRAIL,Suisse,Suisse,,OUI,NON,OUI,x,,
Vézelay,Paule,14,DESIGN TEXTILE,Angleterre,Angleterre,,OUI,/,NON,,,
Wieiki,Somers,20,OBJET,Pays-Bas,/,,OUI,NON,/,,,
Zubeil,Françine,10,PUBLICATIONS ,France ,/,,OUI,NON,/,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,VERIFIER SI LE OBJ DESIGN EST PAS DU DESIGN D'OBJET,,,,,,,,,